"SUPPLIER_NAME","SUPPLIER_EMAIL","SUPPLIER_PHONE","SUPPLIER_POST_CODE","SUPPLIER_ID"
"Vogue Apparel Co","customer_service@vogueapparelco.com","+449552281097","SW1A 1AA","SP10001"
"Elite Fashions Inc","customer_service@elitefashionsinc.com","+445458784628","EC1A 1BB","SP10002"
"Chic Designs Ltd","customer_service@chicdesignsltd.com","+447867136849","W1A 1HQ","SP10003"
"Trendy Textiles Group","customer_service@trendytextilesgroup.com","+441871051283","N1C 4AG","SP10004"
"Fashion Forward Creations LLC","customer_service@fashionforwardcreationsllc.com","+44521462955","SE1 7PB","SP10005"
"StyleMakers International","customer_service@stylemakersinternational.com","+444063019853","NW1W 0NY","SP10006"
"Elegance Garments Ltd.","customer_service@elegancegarmentsltd..com","+445935468134","SW1A 0AA","SP10007"
"Modern Threads Co","customer_service@modernthreadsco.com","+447335005780","EC1A 1BB","SP10008"
"Urban Couture Enterprises","customer_service@urbancoutureenterprises.com","+449036079281","W1A 1HQ","SP10009"
"Glamour Wear Inc","customer_service@glamourwearinc.com","+442330135891","N1C 4AG","SP10010"
"Fashionista Industries Ltd","customer_service@fashionistaindustriesltd.com","+444988205676","SE1 7PB","SP10011"
"Couture Creations LLC","customer_service@couturecreationsllc.com","+448892559082","NW1W 0NY","SP10012"
"Trendsetter Textiles Inc.","customer_service@trendsettertextilesinc..com","+444151085098","SW1A 0AA","SP10013"
"Classic Styles Group","customer_service@classicstylesgroup.com","+441040779011","EC1A 1BB","SP10014"
"Designer Denim Co.","customer_service@designerdenimco..com","+445507418767","W1A 1HQ","SP10015"
"Boutique Brands Ltd","customer_service@boutiquebrandsltd.com","+44116496483","N1C 4AG","SP10016"
"Luxury Labels International","customer_service@luxurylabelsinternational.com","+441854521390","SE1 7PB","SP10017"
"Chic Couture Creations","customer_service@chiccouturecreations.com","+448093247960","NW1W 0NY","SP10018"
"Trendy Tailors Inc","customer_service@trendytailorsinc.com","+447094966600","SW1A 0AA","SP10019"
"Fancy Fabrics Group","customer_service@fancyfabricsgroup.com","+442759581159","EC1A 1BB","SP10020"
